"","lap","cars","Position"
"279",14,"77",6
"280",14,"33",7
"281",14,"18",8
"282",14,"31",9
"283",14,"10",10
"284",14,"26",11
"285",14,"7",12
"286",14,"16",13
"287",14,"23",14
"288",14,"99",15
"289",14,"8",16
"290",14,"63",17
"291",14,"6",18
"292",14,"20",19
"293",15,"44",1
"294",15,"55",2
"295",15,"4",3
"296",15,"11",4
"297",15,"3",5
"298",15,"77",6
"299",15,"33",7
"300",15,"18",8
"301",15,"31",9
"302",15,"10",10
"303",15,"26",11
"304",15,"7",12
"305",15,"16",13
"306",15,"23",14
"307",15,"99",15
"308",15,"8",16
"309",15,"63",17
"310",15,"6",18
"311",15,"20",19
"312",16,"44",1
"313",16,"55",2
"314",16,"4",3
"315",16,"11",4
"316",16,"3",5
"317",16,"77",6
"318",16,"33",7
"319",16,"18",8
"320",16,"31",9
"321",16,"10",10
"322",16,"26",11
"323",16,"7",12
"324",16,"16",13
"325",16,"23",14
"326",16,"99",15
"327",16,"8",16
"328",16,"63",17
"329",16,"6",18
"330",16,"20",19
"331",17,"44",1
"332",17,"55",2
"333",17,"4",3
"334",17,"11",4
"335",17,"3",5
"336",17,"77",6
"337",17,"33",7
"338",17,"18",8
"339",17,"31",9
"340",17,"10",10
"341",17,"26",11
"342",17,"7",12
"343",17,"23",13
"344",17,"99",14
"345",17,"8",15
"346",17,"16",16
"347",17,"63",17
"348",17,"20",18
"349",17,"6",19
"350",18,"44",1
"351",18,"55",2
"352",18,"4",3
"353",18,"11",4
"354",18,"3",5
"355",18,"77",6
"356",18,"33",7
"357",18,"18",8
"358",18,"31",9
"359",18,"10",10
"360",18,"26",11
"361",18,"23",12
"362",18,"7",13
"363",18,"99",14
"364",18,"8",15
"365",18,"63",16
"366",18,"16",17
"367",18,"6",18
"368",19,"44",1
"369",19,"55",2
"370",19,"4",3
"371",19,"11",4
"372",19,"3",5
"373",19,"77",6
"374",19,"33",7
"375",19,"18",8
"376",19,"31",9
"377",19,"26",10
"378",19,"10",11
"379",19,"23",12
"380",19,"99",13
"381",19,"8",14
"382",19,"63",15
"383",19,"7",16
"384",19,"16",17
"385",19,"6",18
"386",20,"44",1
"387",20,"55",2
"388",20,"4",3
"389",20,"11",4
"390",20,"3",5
"391",20,"77",6
"392",20,"33",7
"393",20,"18",8
"394",20,"31",9
"395",20,"26",10
"396",20,"23",11
"397",20,"8",12
"398",20,"99",13
"399",20,"63",14
"400",20,"10",15
"401",20,"7",16
"402",20,"16",17
"403",20,"6",18
"404",21,"55",1
"405",21,"44",2
"406",21,"4",3
"407",21,"11",4
"408",21,"3",5
"409",21,"77",6
"410",21,"33",7
"411",21,"18",8
"412",21,"31",9
"413",21,"26",10
"414",21,"23",11
"415",21,"8",12
"416",21,"63",13
"417",21,"10",14
"418",21,"99",15
"419",21,"7",16
"420",21,"16",17
"421",21,"6",18
"422",22,"44",1
"423",22,"55",2
"424",22,"18",3
"425",22,"4",4
"426",22,"11",5
"427",22,"3",6
"428",22,"77",7
"429",22,"33",8
"430",22,"10",9
"431",22,"99",10
"432",22,"31",11
"433",22,"7",12
"434",22,"26",13
"435",22,"16",14
"436",22,"23",15
"437",22,"6",16
"438",22,"8",17
"439",22,"63",18
"440",23,"44",1
"441",23,"18",2
"442",23,"10",3
"443",23,"99",4
"444",23,"7",5
"445",23,"16",6
"446",23,"6",7
"447",23,"55",8
"448",23,"4",9
"449",23,"77",10
"450",23,"3",11
"451",23,"11",12
"452",23,"33",13
"453",23,"31",14
"454",23,"26",15
"455",23,"63",16
"456",23,"8",17
"457",23,"23",18
"458",24,"44",1
"459",24,"18",2
"460",24,"10",3
"461",24,"7",4
"462",24,"99",5
"463",24,"55",6
"464",24,"4",7
"465",24,"77",8
"466",24,"6",9
"467",24,"3",10
"468",24,"33",11
"469",24,"31",12
"470",24,"26",13
"471",24,"11",14
"472",24,"63",15
"473",24,"23",16
"474",24,"8",17
"475",25,"44",1
"476",25,"18",2
"477",25,"10",3
"478",25,"7",4
"479",25,"99",5
"480",25,"55",6
"481",25,"4",7
"482",25,"77",8
"483",25,"6",9
"484",25,"3",10
"485",25,"33",11
"486",25,"31",12
"487",25,"26",13
"488",25,"11",14
"489",25,"63",15
"490",25,"23",16
"491",25,"8",17
"492",26,"44",1
"493",26,"18",2
"494",26,"10",3
"495",26,"7",4
"496",26,"99",5
"497",26,"55",6
"498",26,"4",7
"499",26,"77",8
"500",26,"6",9
"501",26,"3",10
"502",26,"33",11
"503",26,"31",12
"504",26,"26",13
"505",26,"11",14
"506",26,"63",15
"507",26,"23",16
"508",26,"8",17
"509",27,"44",1
"510",27,"18",2
"511",27,"7",3
"512",27,"10",4
