"","lap","cars","Position"
"279",13,"6",19
"280",13,"7",20
"281",14,"77",1
"282",14,"44",2
"283",14,"33",3
"284",14,"16",4
"285",14,"55",5
"286",14,"10",6
"287",14,"4",7
"288",14,"18",8
"289",14,"31",9
"290",14,"23",10
"291",14,"3",11
"292",14,"5",12
"293",14,"63",13
"294",14,"99",14
"295",14,"26",15
"296",14,"8",16
"297",14,"20",17
"298",14,"11",18
"299",14,"6",19
"300",14,"7",20
"301",15,"77",1
"302",15,"44",2
"303",15,"33",3
"304",15,"16",4
"305",15,"55",5
"306",15,"10",6
"307",15,"4",7
"308",15,"18",8
"309",15,"31",9
"310",15,"23",10
"311",15,"5",11
"312",15,"63",12
"313",15,"99",13
"314",15,"26",14
"315",15,"8",15
"316",15,"11",16
"317",15,"20",17
"318",15,"6",18
"319",15,"3",19
"320",15,"7",20
"321",16,"77",1
"322",16,"44",2
"323",16,"33",3
"324",16,"16",4
"325",16,"55",5
"326",16,"10",6
"327",16,"4",7
"328",16,"18",8
"329",16,"31",9
"330",16,"23",10
"331",16,"5",11
"332",16,"63",12
"333",16,"99",13
"334",16,"26",14
"335",16,"11",15
"336",16,"8",16
"337",16,"20",17
"338",16,"6",18
"339",16,"3",19
"340",16,"7",20
"341",17,"77",1
"342",17,"44",2
"343",17,"33",3
"344",17,"16",4
"345",17,"55",5
"346",17,"10",6
"347",17,"4",7
"348",17,"18",8
"349",17,"31",9
"350",17,"23",10
"351",17,"5",11
"352",17,"63",12
"353",17,"99",13
"354",17,"26",14
"355",17,"11",15
"356",17,"8",16
"357",17,"20",17
"358",17,"6",18
"359",17,"3",19
"360",17,"7",20
"361",18,"77",1
"362",18,"44",2
"363",18,"33",3
"364",18,"16",4
"365",18,"55",5
"366",18,"10",6
"367",18,"31",7
"368",18,"23",8
"369",18,"4",9
"370",18,"5",10
"371",18,"63",11
"372",18,"99",12
"373",18,"26",13
"374",18,"11",14
"375",18,"8",15
"376",18,"18",16
"377",18,"20",17
"378",18,"6",18
"379",18,"3",19
"380",18,"7",20
"381",19,"77",1
"382",19,"44",2
"383",19,"33",3
"384",19,"16",4
"385",19,"55",5
"386",19,"10",6
"387",19,"31",7
"388",19,"5",8
"389",19,"23",9
"390",19,"63",10
"391",19,"99",11
"392",19,"26",12
"393",19,"11",13
"394",19,"8",14
"395",19,"20",15
"396",19,"6",16
"397",19,"3",17
"398",19,"7",18
"399",19,"4",19
"400",19,"18",20
"401",20,"44",1
"402",20,"77",2
"403",20,"33",3
"404",20,"16",4
"405",20,"10",5
"406",20,"55",6
"407",20,"31",7
"408",20,"5",8
"409",20,"63",9
"410",20,"99",10
"411",20,"26",11
"412",20,"11",12
"413",20,"8",13
"414",20,"20",14
"415",20,"6",15
"416",20,"3",16
"417",20,"7",17
"418",20,"23",18
"419",20,"4",19
"420",20,"18",20
"421",21,"44",1
"422",21,"77",2
"423",21,"33",3
"424",21,"16",4
"425",21,"10",5
"426",21,"55",6
"427",21,"31",7
"428",21,"5",8
"429",21,"63",9
"430",21,"99",10
"431",21,"11",11
"432",21,"26",12
"433",21,"8",13
"434",21,"20",14
"435",21,"6",15
"436",21,"3",16
"437",21,"7",17
"438",21,"23",18
"439",21,"4",19
"440",21,"18",20
"441",22,"44",1
"442",22,"77",2
"443",22,"33",3
"444",22,"16",4
"445",22,"10",5
"446",22,"55",6
"447",22,"31",7
"448",22,"5",8
"449",22,"63",9
"450",22,"99",10
"451",22,"11",11
"452",22,"26",12
"453",22,"8",13
"454",22,"20",14
"455",22,"6",15
"456",22,"3",16
"457",22,"7",17
"458",22,"23",18
"459",22,"4",19
"460",22,"18",20
"461",23,"44",1
"462",23,"77",2
"463",23,"16",3
"464",23,"33",4
"465",23,"10",5
"466",23,"55",6
"467",23,"31",7
"468",23,"5",8
"469",23,"63",9
"470",23,"11",10
"471",23,"99",11
"472",23,"26",12
"473",23,"8",13
"474",23,"20",14
"475",23,"6",15
"476",23,"3",16
"477",23,"7",17
"478",23,"23",18
"479",23,"4",19
"480",23,"18",20
"481",24,"44",1
"482",24,"77",2
"483",24,"16",3
"484",24,"10",4
"485",24,"55",5
"486",24,"33",6
"487",24,"31",7
"488",24,"5",8
"489",24,"63",9
"490",24,"11",10
"491",24,"26",11
"492",24,"99",12
"493",24,"8",13
"494",24,"20",14
"495",24,"3",15
"496",24,"7",16
"497",24,"6",17
"498",24,"23",18
"499",24,"4",19
"500",24,"18",20
"501",25,"44",1
"502",25,"77",2
"503",25,"16",3
"504",25,"10",4
"505",25,"55",5
"506",25,"33",6
"507",25,"31",7
"508",25,"5",8
"509",25,"11",9
"510",25,"63",10
"511",25,"99",11
"512",25,"8",12
"513",25,"26",13
"514",25,"20",14
"515",25,"3",15
"516",25,"7",16
"517",25,"23",17
"518",25,"4",18
"519",25,"6",19
"520",25,"18",20
"521",26,"44",1
"522",26,"77",2
"523",26,"16",3
"524",26,"10",4
"525",26,"33",5
"526",26,"55",6
"527",26,"31",7
"528",26,"5",8
"529",26,"11",9
"530",26,"63",10
"531",26,"99",11
"532",26,"20",12
"533",26,"8",13
"534",26,"3",14
"535",26,"7",15
"536",26,"23",16
"537",26,"4",17
"538",26,"26",18
"539",26,"6",19
"540",26,"18",20
"541",27,"44",1
"542",27,"77",2
"543",27,"16",3
"544",27,"10",4
"545",27,"33",5
"546",27,"31",6
"547",27,"11",7
"548",27,"5",8
"549",27,"63",9
"550",27,"99",10
"551",27,"20",11
"552",27,"3",12
"553",27,"7",13
"554",27,"55",14
"555",27,"23",15
"556",27,"4",16
"557",27,"8",17
"558",27,"26",18
"559",27,"6",19
"560",27,"18",20
"561",28,"44",1
"562",28,"77",2
"563",28,"16",3
"564",28,"10",4
"565",28,"33",5
"566",28,"31",6
"567",28,"11",7
"568",28,"63",8
"569",28,"3",9
"570",28,"99",10
"571",28,"7",11
"572",28,"20",12
"573",28,"55",13
"574",28,"23",14
"575",28,"5",15
"576",28,"4",16
"577",28,"8",17
"578",28,"26",18
"579",28,"6",19
"580",28,"18",20
"581",29,"44",1
"582",29,"77",2
"583",29,"16",3
"584",29,"33",4
"585",29,"31",5
"586",29,"11",6
"587",29,"63",7
"588",29,"10",8
"589",29,"3",9
"590",29,"7",10
"591",29,"20",11
"592",29,"55",12
"593",29,"23",13
"594",29,"5",14
"595",29,"4",15
"596",29,"99",16
"597",29,"8",17
"598",29,"26",18
"599",29,"6",19
"600",29,"18",20
"601",30,"44",1
"602",30,"77",2
"603",30,"16",3
"604",30,"33",4
"605",30,"31",5
"606",30,"11",6
"607",30,"63",7
"608",30,"3",8
"609",30,"10",9
"610",30,"7",10
"611",30,"55",11
"612",30,"20",12
"613",30,"23",13
"614",30,"5",14
"615",30,"4",15
"616",30,"99",16
"617",30,"8",17
"618",30,"26",18
"619",30,"6",19
"620",30,"18",20
"621",31,"44",1
"622",31,"77",2
"623",31,"16",3
"624",31,"33",4
"625",31,"31",5
"626",31,"11",6
"627",31,"63",7
"628",31,"3",8
"629",31,"10",9
"630",31,"7",10
"631",31,"55",11
"632",31,"23",12
"633",31,"20",13
"634",31,"5",14
"635",31,"4",15
"636",31,"99",16
"637",31,"8",17
"638",31,"26",18
"639",31,"6",19
"640",31,"18",20
"641",32,"44",1
"642",32,"77",2
"643",32,"16",3
"644",32,"33",4
"645",32,"31",5
