"","lap","cars","Position"
"279",13,"20",19
"280",13,"6",20
"281",14,"44",1
"282",14,"33",2
"283",14,"27",3
"284",14,"18",4
"285",14,"3",5
"286",14,"77",6
"287",14,"16",7
"288",14,"55",8
"289",14,"31",9
"290",14,"26",10
"291",14,"8",11
"292",14,"5",12
"293",14,"4",13
"294",14,"10",14
"295",14,"23",15
"296",14,"7",16
"297",14,"99",17
"298",14,"63",18
"299",14,"20",19
"300",14,"6",20
"301",15,"33",1
"302",15,"27",2
"303",15,"18",3
"304",15,"77",4
"305",15,"44",5
"306",15,"16",6
"307",15,"55",7
"308",15,"31",8
"309",15,"26",9
"310",15,"3",10
"311",15,"8",11
"312",15,"5",12
"313",15,"4",13
"314",15,"10",14
"315",15,"23",15
"316",15,"7",16
"317",15,"99",17
"318",15,"63",18
"319",15,"20",19
"320",15,"6",20
"321",16,"33",1
"322",16,"18",2
"323",16,"77",3
"324",16,"44",4
"325",16,"16",5
"326",16,"55",6
"327",16,"27",7
"328",16,"31",8
"329",16,"26",9
"330",16,"3",10
"331",16,"8",11
"332",16,"5",12
"333",16,"4",13
"334",16,"10",14
"335",16,"23",15
"336",16,"7",16
"337",16,"99",17
"338",16,"63",18
"339",16,"20",19
"340",16,"6",20
"341",17,"33",1
"342",17,"18",2
"343",17,"77",3
"344",17,"44",4
"345",17,"16",5
"346",17,"55",6
"347",17,"27",7
"348",17,"31",8
"349",17,"26",9
"350",17,"3",10
"351",17,"5",11
"352",17,"8",12
"353",17,"4",13
"354",17,"10",14
"355",17,"23",15
"356",17,"7",16
"357",17,"99",17
"358",17,"63",18
"359",17,"20",19
"360",17,"6",20
"361",18,"33",1
"362",18,"18",2
"363",18,"77",3
"364",18,"44",4
"365",18,"16",5
"366",18,"55",6
"367",18,"27",7
"368",18,"31",8
"369",18,"26",9
"370",18,"3",10
"371",18,"5",11
"372",18,"4",12
"373",18,"10",13
"374",18,"23",14
"375",18,"7",15
"376",18,"99",16
"377",18,"63",17
"378",18,"20",18
"379",18,"6",19
"380",18,"8",20
"381",19,"33",1
"382",19,"77",2
"383",19,"44",3
"384",19,"55",4
"385",19,"27",5
"386",19,"18",6
"387",19,"31",7
"388",19,"26",8
"389",19,"3",9
"390",19,"5",10
"391",19,"4",11
"392",19,"16",12
"393",19,"10",13
"394",19,"23",14
"395",19,"7",15
"396",19,"99",16
"397",19,"63",17
"398",19,"20",18
"399",19,"6",19
"400",19,"8",20
"401",20,"33",1
"402",20,"77",2
"403",20,"44",3
"404",20,"55",4
"405",20,"27",5
"406",20,"18",6
"407",20,"31",7
"408",20,"3",8
"409",20,"5",9
"410",20,"16",10
"411",20,"4",11
"412",20,"10",12
"413",20,"23",13
"414",20,"7",14
"415",20,"26",15
"416",20,"99",16
"417",20,"63",17
"418",20,"6",18
"419",20,"8",19
"420",20,"20",20
"421",21,"33",1
"422",21,"77",2
"423",21,"44",3
"424",21,"55",4
"425",21,"27",5
"426",21,"18",6
"427",21,"31",7
"428",21,"3",8
"429",21,"5",9
"430",21,"16",10
"431",21,"4",11
"432",21,"23",12
"433",21,"10",13
"434",21,"7",14
"435",21,"26",15
"436",21,"99",16
"437",21,"63",17
"438",21,"6",18
"439",21,"8",19
"440",21,"20",20
"441",22,"33",1
"442",22,"77",2
"443",22,"44",3
"444",22,"55",4
"445",22,"27",5
"446",22,"18",6
"447",22,"31",7
"448",22,"3",8
"449",22,"5",9
"450",22,"16",10
"451",22,"4",11
"452",22,"23",12
"453",22,"10",13
"454",22,"26",14
"455",22,"7",15
"456",22,"99",16
"457",22,"63",17
"458",22,"6",18
"459",22,"8",19
"460",22,"20",20
"461",23,"33",1
"462",23,"77",2
"463",23,"44",3
"464",23,"27",4
"465",23,"18",5
"466",23,"3",6
"467",23,"16",7
"468",23,"4",8
"469",23,"23",9
"470",23,"10",10
"471",23,"31",11
"472",23,"26",12
"473",23,"55",13
"474",23,"7",14
"475",23,"5",15
"476",23,"99",16
"477",23,"63",17
"478",23,"6",18
"479",23,"8",19
"480",23,"20",20
"481",24,"33",1
"482",24,"77",2
"483",24,"44",3
"484",24,"27",4
"485",24,"18",5
"486",24,"3",6
"487",24,"16",7
"488",24,"4",8
"489",24,"23",9
"490",24,"31",10
"491",24,"26",11
"492",24,"55",12
"493",24,"5",13
"494",24,"7",14
"495",24,"63",15
"496",24,"99",16
"497",24,"6",17
"498",24,"8",18
"499",24,"10",19
"500",24,"20",20
"501",25,"33",1
"502",25,"77",2
"503",25,"44",3
"504",25,"27",4
"505",25,"18",5
"506",25,"3",6
"507",25,"16",7
"508",25,"4",8
"509",25,"23",9
"510",25,"31",10
"511",25,"26",11
"512",25,"55",12
"513",25,"5",13
"514",25,"7",14
"515",25,"99",15
"516",25,"6",16
"517",25,"8",17
"518",25,"10",18
"519",25,"63",19
"520",25,"20",20
"521",26,"33",1
"522",26,"77",2
"523",26,"44",3
"524",26,"27",4
"525",26,"18",5
"526",26,"3",6
"527",26,"16",7
"528",26,"4",8
"529",26,"23",9
"530",26,"31",10
"531",26,"26",11
"532",26,"55",12
"533",26,"5",13
"534",26,"7",14
"535",26,"6",15
"536",26,"99",16
"537",26,"8",17
"538",26,"10",18
"539",26,"63",19
"540",26,"20",20
"541",27,"33",1
"542",27,"77",2
"543",27,"44",3
"544",27,"27",4
"545",27,"18",5
"546",27,"16",6
"547",27,"4",7
"548",27,"23",8
"549",27,"31",9
"550",27,"26",10
"551",27,"3",11
"552",27,"55",12
"553",27,"5",13
"554",27,"99",14
"555",27,"8",15
"556",27,"10",16
"557",27,"7",17
"558",27,"63",18
"559",27,"6",19
"560",27,"20",20
"561",28,"33",1
"562",28,"77",2
"563",28,"44",3
"564",28,"27",4
"565",28,"18",5
"566",28,"16",6
"567",28,"4",7
"568",28,"23",8
"569",28,"31",9
"570",28,"26",10
"571",28,"3",11
"572",28,"55",12
"573",28,"5",13
"574",28,"99",14
"575",28,"8",15
"576",28,"10",16
"577",28,"7",17
"578",28,"63",18
"579",28,"6",19
"580",28,"20",20
"581",29,"33",1
"582",29,"77",2
"583",29,"44",3
"584",29,"27",4
"585",29,"18",5
"586",29,"16",6
"587",29,"23",7
"588",29,"4",8
"589",29,"31",9
"590",29,"26",10
"591",29,"3",11
"592",29,"55",12
"593",29,"5",13
"594",29,"99",14
"595",29,"10",15
"596",29,"8",16
"597",29,"7",17
"598",29,"63",18
"599",29,"6",19
"600",29,"20",20
"601",30,"33",1
"602",30,"77",2
"603",30,"44",3
"604",30,"27",4
"605",30,"18",5
"606",30,"16",6
"607",30,"23",7
"608",30,"31",8
"609",30,"26",9
"610",30,"3",10
"611",30,"55",11
"612",30,"5",12
"613",30,"4",13
"614",30,"10",14
"615",30,"99",15
"616",30,"8",16
"617",30,"7",17
