"","lap","cars","Position"
"279",15,"16",7
"280",15,"3",8
"281",15,"26",9
"282",15,"20",10
"283",15,"8",11
"284",15,"99",12
"285",15,"5",13
"286",15,"7",14
"287",15,"6",15
"288",15,"23",16
"289",15,"4",17
"290",15,"63",18
"291",16,"77",1
"292",16,"44",2
"293",16,"33",3
"294",16,"31",4
"295",16,"11",5
"296",16,"10",6
"297",16,"16",7
"298",16,"26",8
"299",16,"20",9
"300",16,"8",10
"301",16,"5",11
"302",16,"99",12
"303",16,"7",13
"304",16,"3",14
"305",16,"23",15
"306",16,"4",16
"307",16,"6",17
"308",16,"63",18
"309",17,"77",1
"310",17,"33",2
"311",17,"31",3
"312",17,"11",4
"313",17,"10",5
"314",17,"16",6
"315",17,"26",7
"316",17,"20",8
"317",17,"5",9
"318",17,"44",10
"319",17,"8",11
"320",17,"7",12
"321",17,"3",13
"322",17,"23",14
"323",17,"4",15
"324",17,"6",16
"325",17,"99",17
"326",17,"63",18
"327",18,"77",1
"328",18,"33",2
"329",18,"11",3
"330",18,"31",4
"331",18,"16",5
"332",18,"26",6
"333",18,"10",7
"334",18,"20",8
"335",18,"5",9
"336",18,"44",10
"337",18,"7",11
"338",18,"3",12
"339",18,"23",13
"340",18,"4",14
"341",18,"8",15
"342",18,"99",16
"343",18,"6",17
"344",18,"63",18
"345",19,"77",1
"346",19,"33",2
"347",19,"11",3
"348",19,"16",4
"349",19,"26",5
"350",19,"20",6
"351",19,"44",7
"352",19,"5",8
"353",19,"31",9
"354",19,"7",10
"355",19,"3",11
"356",19,"23",12
"357",19,"10",13
"358",19,"4",14
"359",19,"8",15
"360",19,"99",16
"361",19,"6",17
"362",19,"63",18
"363",20,"77",1
"364",20,"33",2
"365",20,"11",3
"366",20,"16",4
"367",20,"26",5
"368",20,"44",6
"369",20,"5",7
"370",20,"31",8
"371",20,"3",9
"372",20,"7",10
"373",20,"23",11
"374",20,"10",12
"375",20,"4",13
"376",20,"20",14
"377",20,"8",15
"378",20,"99",16
"379",20,"6",17
"380",20,"63",18
"381",21,"77",1
"382",21,"33",2
"383",21,"16",3
"384",21,"26",4
"385",21,"44",5
"386",21,"11",6
"387",21,"5",7
"388",21,"31",8
"389",21,"3",9
"390",21,"7",10
"391",21,"23",11
"392",21,"10",12
"393",21,"4",13
"394",21,"20",14
"395",21,"8",15
"396",21,"99",16
"397",21,"6",17
"398",21,"63",18
"399",22,"77",1
"400",22,"33",2
"401",22,"16",3
"402",22,"26",4
"403",22,"44",5
"404",22,"11",6
"405",22,"5",7
"406",22,"31",8
"407",22,"3",9
"408",22,"7",10
"409",22,"23",11
"410",22,"10",12
"411",22,"4",13
"412",22,"20",14
"413",22,"8",15
"414",22,"99",16
"415",22,"6",17
"416",22,"63",18
"417",23,"77",1
"418",23,"33",2
"419",23,"16",3
"420",23,"26",4
"421",23,"44",5
"422",23,"11",6
"423",23,"5",7
"424",23,"31",8
"425",23,"3",9
"426",23,"7",10
"427",23,"23",11
"428",23,"10",12
"429",23,"4",13
"430",23,"20",14
"431",23,"8",15
"432",23,"99",16
"433",23,"6",17
"434",23,"63",18
"435",24,"77",1
"436",24,"33",2
"437",24,"16",3
"438",24,"26",4
"439",24,"44",5
"440",24,"11",6
"441",24,"5",7
"442",24,"31",8
"443",24,"3",9
"444",24,"7",10
"445",24,"23",11
"446",24,"10",12
"447",24,"4",13
"448",24,"20",14
"449",24,"8",15
"450",24,"99",16
"451",24,"6",17
"452",24,"63",18
"453",25,"77",1
"454",25,"33",2
"455",25,"16",3
"456",25,"26",4
"457",25,"44",5
"458",25,"11",6
"459",25,"5",7
"460",25,"3",8
"461",25,"31",9
"462",25,"7",10
"463",25,"23",11
"464",25,"10",12
"465",25,"4",13
"466",25,"20",14
"467",25,"8",15
"468",25,"99",16
"469",25,"6",17
"470",25,"63",18
"471",26,"77",1
"472",26,"16",2
"473",26,"26",3
"474",26,"33",4
"475",26,"44",5
"476",26,"11",6
"477",26,"5",7
"478",26,"3",8
"479",26,"31",9
"480",26,"7",10
"481",26,"23",11
"482",26,"10",12
"483",26,"4",13
"484",26,"20",14
"485",26,"8",15
"486",26,"99",16
"487",26,"6",17
"488",26,"63",18
"489",27,"77",1
"490",27,"16",2
"491",27,"33",3
"492",27,"26",4
"493",27,"44",5
"494",27,"11",6
"495",27,"3",7
"496",27,"5",8
"497",27,"31",9
"498",27,"7",10
"499",27,"10",11
"500",27,"4",12
"501",27,"23",13
"502",27,"20",14
"503",27,"8",15
"504",27,"99",16
"505",27,"6",17
"506",27,"63",18
"507",28,"77",1
"508",28,"33",2
"509",28,"16",3
"510",28,"26",4
"511",28,"44",5
"512",28,"11",6
"513",28,"3",7
"514",28,"31",8
"515",28,"5",9
"516",28,"7",10
"517",28,"10",11
"518",28,"4",12
"519",28,"20",13
"520",28,"8",14
"521",28,"99",15
"522",28,"23",16
"523",28,"6",17
"524",28,"63",18
"525",29,"77",1
"526",29,"33",2
"527",29,"26",3
"528",29,"44",4
"529",29,"11",5
"530",29,"3",6
"531",29,"16",7
"532",29,"31",8
"533",29,"5",9
"534",29,"7",10
"535",29,"10",11
"536",29,"4",12
"537",29,"20",13
"538",29,"8",14
"539",29,"99",15
"540",29,"23",16
"541",29,"6",17
"542",29,"63",18
"543",30,"77",1
"544",30,"33",2
"545",30,"44",3
"546",30,"26",4
"547",30,"11",5
"548",30,"3",6
"549",30,"16",7
"550",30,"31",8
"551",30,"7",9
"552",30,"10",10
"553",30,"5",11
"554",30,"4",12
"555",30,"20",13
"556",30,"8",14
"557",30,"99",15
"558",30,"23",16
"559",30,"6",17
"560",30,"63",18
"561",31,"77",1
"562",31,"33",2
"563",31,"44",3
"564",31,"11",4
"565",31,"3",5
"566",31,"16",6
"567",31,"31",7
"568",31,"26",8
"569",31,"7",9
"570",31,"10",10
"571",31,"4",11
"572",31,"20",12
"573",31,"8",13
"574",31,"99",14
"575",31,"23",15
"576",31,"5",16
"577",31,"6",17
"578",31,"63",18
"579",32,"77",1
"580",32,"33",2
"581",32,"44",3
"582",32,"11",4
"583",32,"3",5
"584",32,"16",6
"585",32,"31",7
"586",32,"26",8
"587",32,"7",9
"588",32,"10",10
"589",32,"4",11
"590",32,"20",12
"591",32,"8",13
"592",32,"99",14
"593",32,"23",15
"594",32,"5",16
"595",32,"6",17
"596",32,"63",18
"597",33,"77",1
"598",33,"33",2
"599",33,"44",3
"600",33,"11",4
"601",33,"3",5
"602",33,"16",6
"603",33,"31",7
"604",33,"26",8
"605",33,"7",9
"606",33,"10",10
"607",33,"4",11
"608",33,"20",12
"609",33,"8",13
"610",33,"99",14
"611",33,"23",15
"612",33,"5",16
"613",33,"6",17
"614",33,"63",18
"615",34,"77",1
"616",34,"33",2
"617",34,"44",3
"618",34,"11",4
"619",34,"3",5
"620",34,"16",6
"621",34,"31",7
"622",34,"26",8
"623",34,"10",9
"624",34,"7",10
"625",34,"4",11
"626",34,"20",12
"627",34,"8",13
"628",34,"99",14
"629",34,"23",15
"630",34,"5",16
"631",34,"6",17
"632",34,"63",18
"633",35,"77",1
"634",35,"33",2
"635",35,"44",3
"636",35,"11",4
"637",35,"3",5
"638",35,"16",6
"639",35,"31",7
"640",35,"26",8
"641",35,"10",9
"642",35,"4",10
"643",35,"20",11
"644",35,"7",12
"645",35,"8",13
"646",35,"99",14
"647",35,"23",15
"648",35,"5",16
"649",35,"6",17
"650",35,"63",18
"651",36,"77",1
"652",36,"33",2
"653",36,"44",3
"654",36,"11",4
"655",36,"3",5
"656",36,"16",6
"657",36,"31",7
"658",36,"26",8
"659",36,"10",9
"660",36,"4",10
"661",36,"20",11
"662",36,"8",12
"663",36,"99",13
"664",36,"23",14
"665",36,"5",15
"666",36,"7",16
"667",36,"6",17
"668",36,"63",18
"669",37,"77",1
"670",37,"33",2
"671",37,"44",3
"672",37,"11",4
"673",37,"3",5
"674",37,"16",6
"675",37,"31",7
"676",37,"26",8
"677",37,"10",9
"678",37,"4",10
"679",37,"20",11
"680",37,"8",12
"681",37,"23",13
"682",37,"99",14
"683",37,"5",15
"684",37,"7",16
"685",37,"6",17
"686",37,"63",18
"687",38,"77",1
"688",38,"33",2
"689",38,"44",3
"690",38,"11",4
"691",38,"3",5
"692",38,"16",6
"693",38,"31",7
"694",38,"26",8
"695",38,"10",9
"696",38,"4",10
"697",38,"20",11
"698",38,"8",12
"699",38,"23",13
"700",38,"99",14
"701",38,"5",15
"702",38,"7",16
"703",38,"6",17
"704",38,"63",18
"705",39,"77",1
"706",39,"33",2
"707",39,"44",3
"708",39,"11",4
"709",39,"3",5
"710",39,"16",6
"711",39,"31",7
"712",39,"26",8
"713",39,"10",9
"714",39,"4",10
"715",39,"20",11
"716",39,"23",12
"717",39,"8",13
"718",39,"99",14
"719",39,"5",15
"720",39,"7",16
"721",39,"6",17
"722",39,"63",18
"723",40,"77",1
"724",40,"33",2
"725",40,"44",3
"726",40,"11",4
"727",40,"3",5
"728",40,"16",6
"729",40,"31",7
"730",40,"26",8
"731",40,"10",9
"732",40,"4",10
"733",40,"20",11
"734",40,"23",12
"735",40,"99",13
"736",40,"8",14
"737",40,"5",15
"738",40,"7",16
"739",40,"6",17
"740",40,"63",18
"741",41,"77",1
"742",41,"33",2
"743",41,"44",3
"744",41,"11",4
"745",41,"3",5
"746",41,"16",6
"747",41,"31",7
"748",41,"26",8
"749",41,"10",9
"750",41,"4",10
"751",41,"20",11
"752",41,"23",12
"753",41,"99",13
"754",41,"5",14
"755",41,"8",15
"756",41,"7",16
"757",41,"6",17
"758",41,"63",18
"759",42,"77",1
"760",42,"33",2
"761",42,"44",3
"762",42,"11",4
"763",42,"3",5
"764",42,"16",6
"765",42,"31",7
"766",42,"26",8
"767",42,"10",9
"768",42,"4",10
"769",42,"23",11
"770",42,"20",12
"771",42,"99",13
"772",42,"5",14
"773",42,"7",15
"774",42,"8",16
"775",42,"6",17
"776",42,"63",18
"777",43,"77",1
"778",43,"33",2
"779",43,"44",3
"780",43,"11",4
"781",43,"3",5
"782",43,"16",6
"783",43,"31",7
"784",43,"26",8
"785",43,"4",9
"786",43,"23",10
"787",43,"10",11
"788",43,"20",12
"789",43,"99",13
"790",43,"5",14
"791",43,"7",15
"792",43,"6",16
"793",43,"63",17
"794",43,"8",18
"795",44,"77",1
"796",44,"33",2
"797",44,"44",3
"798",44,"11",4
"799",44,"3",5
"800",44,"16",6
"801",44,"31",7
"802",44,"26",8
"803",44,"4",9
"804",44,"23",10
"805",44,"10",11
"806",44,"20",12
"807",44,"99",13
"808",44,"5",14
"809",44,"7",15
"810",44,"6",16
"811",44,"63",17
"812",44,"8",18
"813",45,"77",1
"814",45,"33",2
"815",45,"44",3
"816",45,"11",4
"817",45,"3",5
"818",45,"16",6
"819",45,"31",7
"820",45,"26",8
"821",45,"4",9
"822",45,"10",10
"823",45,"23",11
"824",45,"20",12
"825",45,"99",13
"826",45,"5",14
"827",45,"7",15
"828",45,"6",16
"829",45,"63",17
"830",45,"8",18
"831",46,"77",1
"832",46,"33",2
"833",46,"44",3
"834",46,"11",4
"835",46,"3",5
"836",46,"16",6
"837",46,"31",7
"838",46,"26",8
"839",46,"4",9
"840",46,"10",10
"841",46,"23",11
"842",46,"20",12
"843",46,"99",13
"844",46,"5",14
"845",46,"7",15
"846",46,"6",16
"847",46,"63",17
"848",46,"8",18
"849",47,"77",1
"850",47,"33",2
"851",47,"44",3
"852",47,"11",4
"853",47,"3",5
"854",47,"16",6
"855",47,"31",7
"856",47,"26",8
"857",47,"10",9
"858",47,"23",10
"859",47,"20",11
"860",47,"99",12
"861",47,"5",13
"862",47,"4",14
"863",47,"7",15
"864",47,"6",16
"865",47,"63",17
"866",47,"8",18
"867",48,"77",1
"868",48,"33",2
"869",48,"44",3
"870",48,"11",4
"871",48,"3",5
"872",48,"16",6
"873",48,"31",7
"874",48,"26",8
"875",48,"10",9
"876",48,"23",10
"877",48,"99",11
"878",48,"20",12
