"","lap","cars","Position"
"279",13,"7",19
"280",14,"44",1
"281",14,"33",2
"282",14,"3",3
"283",14,"77",4
"284",14,"4",5
"285",14,"11",6
"286",14,"31",7
"287",14,"55",8
"288",14,"10",9
"289",14,"99",10
"290",14,"26",11
"291",14,"23",12
"292",14,"27",13
"293",14,"20",14
"294",14,"16",15
"295",14,"8",16
"296",14,"6",17
"297",14,"5",18
"298",14,"7",19
"299",15,"44",1
"300",15,"33",2
"301",15,"77",3
"302",15,"3",4
"303",15,"4",5
"304",15,"11",6
"305",15,"31",7
"306",15,"55",8
"307",15,"10",9
"308",15,"26",10
"309",15,"23",11
"310",15,"27",12
"311",15,"99",13
"312",15,"16",14
"313",15,"8",15
"314",15,"5",16
"315",15,"7",17
"316",15,"20",18
"317",15,"6",19
"318",16,"44",1
"319",16,"33",2
"320",16,"77",3
"321",16,"3",4
"322",16,"4",5
"323",16,"11",6
"324",16,"31",7
"325",16,"55",8
"326",16,"10",9
"327",16,"23",10
"328",16,"27",11
"329",16,"16",12
"330",16,"26",13
"331",16,"8",14
"332",16,"99",15
"333",16,"5",16
"334",16,"7",17
"335",16,"20",18
"336",16,"6",19
"337",17,"44",1
"338",17,"33",2
"339",17,"4",3
"340",17,"11",4
"341",17,"77",5
"342",17,"31",6
"343",17,"55",7
"344",17,"10",8
"345",17,"3",9
"346",17,"23",10
"347",17,"27",11
"348",17,"16",12
"349",17,"8",13
"350",17,"99",14
"351",17,"5",15
"352",17,"7",16
"353",17,"20",17
"354",17,"6",18
"355",17,"26",19
"356",18,"44",1
"357",18,"33",2
"358",18,"4",3
"359",18,"11",4
"360",18,"31",5
"361",18,"55",6
"362",18,"3",7
"363",18,"10",8
"364",18,"23",9
"365",18,"27",10
"366",18,"16",11
"367",18,"77",12
"368",18,"8",13
"369",18,"99",14
"370",18,"5",15
"371",18,"7",16
"372",18,"20",17
"373",18,"6",18
"374",18,"26",19
"375",19,"44",1
"376",19,"33",2
"377",19,"4",3
"378",19,"11",4
"379",19,"31",5
"380",19,"55",6
"381",19,"3",7
"382",19,"10",8
"383",19,"23",9
"384",19,"27",10
"385",19,"16",11
"386",19,"8",12
"387",19,"99",13
"388",19,"5",14
"389",19,"7",15
"390",19,"20",16
"391",19,"6",17
"392",19,"26",18
"393",20,"44",1
"394",20,"33",2
"395",20,"4",3
"396",20,"11",4
"397",20,"31",5
"398",20,"55",6
"399",20,"3",7
"400",20,"10",8
"401",20,"23",9
"402",20,"16",10
"403",20,"27",11
"404",20,"8",12
