"","lap","cars","Position"
"279",20,"4",4
"280",20,"11",5
"281",20,"16",6
"282",20,"55",7
"283",20,"5",8
"284",20,"10",9
"285",20,"26",10
"286",20,"20",11
"287",20,"31",12
"288",20,"7",13
"289",20,"18",14
"290",20,"99",15
"291",20,"63",16
"292",20,"6",17
"293",20,"8",18
"294",21,"77",1
"295",21,"44",2
"296",21,"23",3
"297",21,"4",4
"298",21,"11",5
"299",21,"16",6
"300",21,"55",7
"301",21,"5",8
"302",21,"10",9
"303",21,"26",10
"304",21,"20",11
"305",21,"31",12
"306",21,"7",13
"307",21,"99",14
"308",21,"63",15
"309",21,"6",16
"310",21,"8",17
"311",22,"77",1
"312",22,"44",2
"313",22,"23",3
"314",22,"4",4
"315",22,"11",5
"316",22,"16",6
"317",22,"55",7
"318",22,"5",8
"319",22,"10",9
"320",22,"26",10
"321",22,"20",11
"322",22,"31",12
"323",22,"7",13
"324",22,"99",14
"325",22,"63",15
"326",22,"6",16
"327",22,"8",17
"328",23,"77",1
"329",23,"44",2
"330",23,"23",3
"331",23,"4",4
"332",23,"11",5
"333",23,"16",6
"334",23,"55",7
"335",23,"5",8
"336",23,"10",9
"337",23,"26",10
"338",23,"20",11
"339",23,"31",12
"340",23,"7",13
"341",23,"99",14
"342",23,"63",15
"343",23,"6",16
"344",23,"8",17
"345",24,"77",1
"346",24,"44",2
"347",24,"23",3
"348",24,"4",4
"349",24,"11",5
"350",24,"16",6
"351",24,"55",7
"352",24,"5",8
"353",24,"10",9
"354",24,"26",10
"355",24,"20",11
"356",24,"31",12
"357",24,"99",13
"358",24,"7",14
"359",24,"63",15
"360",24,"6",16
"361",24,"8",17
"362",25,"77",1
"363",25,"44",2
"364",25,"23",3
"365",25,"4",4
"366",25,"11",5
"367",25,"16",6
"368",25,"55",7
"369",25,"5",8
"370",25,"10",9
"371",25,"26",10
"372",25,"31",11
"373",25,"99",12
"374",25,"63",13
"375",25,"6",14
"376",25,"7",15
"377",25,"8",16
"378",26,"77",1
"379",26,"44",2
"380",26,"23",3
"381",26,"4",4
"382",26,"11",5
"383",26,"16",6
"384",26,"55",7
"385",26,"5",8
"386",26,"10",9
"387",26,"26",10
"388",26,"31",11
"389",26,"99",12
"390",26,"63",13
"391",26,"6",14
"392",26,"7",15
"393",26,"8",16
"394",27,"77",1
"395",27,"44",2
"396",27,"23",3
"397",27,"4",4
"398",27,"11",5
"399",27,"16",6
"400",27,"55",7
"401",27,"5",8
"402",27,"10",9
"403",27,"26",10
"404",27,"31",11
"405",27,"99",12
"406",27,"63",13
"407",27,"7",14
"408",27,"8",15
"409",27,"6",16
"410",28,"77",1
"411",28,"44",2
"412",28,"23",3
"413",28,"4",4
"414",28,"11",5
"415",28,"16",6
"416",28,"55",7
"417",28,"5",8
"418",28,"10",9
"419",28,"26",10
"420",28,"31",11
"421",28,"99",12
"422",28,"63",13
"423",28,"7",14
"424",28,"8",15
"425",28,"6",16
"426",29,"77",1
"427",29,"44",2
"428",29,"23",3
"429",29,"4",4
"430",29,"11",5
"431",29,"16",6
"432",29,"55",7
"433",29,"5",8
"434",29,"10",9
"435",29,"26",10
"436",29,"31",11
"437",29,"99",12
"438",29,"63",13
"439",29,"7",14
"440",29,"8",15
"441",29,"6",16
"442",30,"77",1
"443",30,"44",2
"444",30,"23",3
"445",30,"4",4
"446",30,"11",5
"447",30,"16",6
"448",30,"55",7
"449",30,"5",8
"450",30,"10",9
"451",30,"26",10
"452",30,"31",11
"453",30,"99",12
"454",30,"63",13
"455",30,"7",14
"456",30,"8",15
"457",30,"6",16
"458",31,"77",1
"459",31,"44",2
"460",31,"23",3
"461",31,"4",4
"462",31,"11",5
"463",31,"16",6
"464",31,"55",7
"465",31,"10",8
"466",31,"26",9
"467",31,"31",10
"468",31,"99",11
"469",31,"63",12
"470",31,"7",13
"471",31,"8",14
"472",31,"5",15
"473",31,"6",16
"474",32,"77",1
"475",32,"44",2
"476",32,"23",3
"477",32,"4",4
"478",32,"11",5
"479",32,"16",6
"480",32,"55",7
"481",32,"10",8
"482",32,"26",9
"483",32,"31",10
"484",32,"99",11
"485",32,"63",12
"486",32,"7",13
"487",32,"8",14
"488",32,"5",15
"489",32,"6",16
"490",33,"77",1
"491",33,"44",2
"492",33,"23",3
"493",33,"11",4
"494",33,"4",5
"495",33,"16",6
"496",33,"55",7
"497",33,"10",8
"498",33,"26",9
"499",33,"31",10
"500",33,"99",11
"501",33,"63",12
"502",33,"7",13
"503",33,"8",14
"504",33,"5",15
"505",33,"6",16
"506",34,"77",1
"507",34,"44",2
"508",34,"23",3
"509",34,"11",4
"510",34,"4",5
"511",34,"16",6
"512",34,"55",7
"513",34,"10",8
"514",34,"26",9
"515",34,"31",10
"516",34,"99",11
"517",34,"63",12
"518",34,"7",13
"519",34,"8",14
"520",34,"5",15
"521",34,"6",16
"522",35,"77",1
"523",35,"44",2
"524",35,"23",3
"525",35,"11",4
"526",35,"4",5
"527",35,"16",6
"528",35,"55",7
"529",35,"10",8
"530",35,"26",9
"531",35,"31",10
"532",35,"99",11
"533",35,"63",12
"534",35,"7",13
"535",35,"8",14
"536",35,"5",15
"537",35,"6",16
"538",36,"77",1
"539",36,"44",2
"540",36,"23",3
"541",36,"11",4
"542",36,"4",5
"543",36,"16",6
"544",36,"55",7
"545",36,"10",8
"546",36,"26",9
"547",36,"31",10
"548",36,"99",11
"549",36,"63",12
"550",36,"7",13
"551",36,"5",14
"552",36,"8",15
"553",36,"6",16
"554",37,"77",1
"555",37,"44",2
"556",37,"23",3
"557",37,"11",4
"558",37,"4",5
"559",37,"16",6
"560",37,"55",7
"561",37,"10",8
"562",37,"26",9
"563",37,"31",10
"564",37,"99",11
"565",37,"63",12
"566",37,"7",13
"567",37,"5",14
"568",37,"8",15
"569",37,"6",16
"570",38,"77",1
"571",38,"44",2
"572",38,"23",3
"573",38,"11",4
"574",38,"4",5
"575",38,"16",6
"576",38,"55",7
"577",38,"10",8
"578",38,"26",9
"579",38,"31",10
"580",38,"99",11
"581",38,"63",12
"582",38,"7",13
"583",38,"5",14
"584",38,"8",15
"585",38,"6",16
"586",39,"77",1
"587",39,"44",2
"588",39,"23",3
"589",39,"11",4
"590",39,"4",5
"591",39,"16",6
"592",39,"55",7
"593",39,"10",8
"594",39,"26",9
"595",39,"31",10
"596",39,"99",11
"597",39,"63",12
"598",39,"7",13
"599",39,"5",14
"600",39,"8",15
"601",39,"6",16
"602",40,"77",1
"603",40,"44",2
"604",40,"23",3
"605",40,"11",4
"606",40,"4",5
"607",40,"16",6
"608",40,"55",7
"609",40,"10",8
"610",40,"26",9
"611",40,"31",10
"612",40,"99",11
"613",40,"63",12
"614",40,"7",13
"615",40,"5",14
"616",40,"8",15
"617",40,"6",16
"618",41,"77",1
