"","lap","cars","Position"
"279",15,"10",7
"280",15,"31",8
"281",15,"4",9
"282",15,"23",10
"283",15,"11",11
"284",15,"5",12
"285",15,"20",13
"286",15,"6",14
"287",15,"99",15
"288",15,"89",16
"289",15,"7",17
"290",15,"51",18
"291",16,"63",1
"292",16,"77",2
"293",16,"55",3
"294",16,"3",4
"295",16,"26",5
"296",16,"18",6
"297",16,"10",7
"298",16,"31",8
"299",16,"4",9
"300",16,"23",10
"301",16,"11",11
"302",16,"5",12
"303",16,"6",13
"304",16,"99",14
"305",16,"20",15
"306",16,"89",16
"307",16,"7",17
"308",16,"51",18
"309",17,"63",1
"310",17,"77",2
"311",17,"55",3
"312",17,"3",4
"313",17,"26",5
"314",17,"18",6
"315",17,"10",7
"316",17,"31",8
"317",17,"4",9
"318",17,"23",10
"319",17,"11",11
"320",17,"5",12
"321",17,"6",13
"322",17,"99",14
"323",17,"20",15
"324",17,"89",16
"325",17,"7",17
"326",17,"51",18
"327",18,"63",1
"328",18,"77",2
"329",18,"55",3
"330",18,"3",4
"331",18,"26",5
"332",18,"18",6
"333",18,"10",7
"334",18,"31",8
"335",18,"4",9
"336",18,"23",10
"337",18,"11",11
"338",18,"5",12
"339",18,"6",13
"340",18,"99",14
"341",18,"20",15
"342",18,"89",16
"343",18,"7",17
"344",18,"51",18
"345",19,"63",1
"346",19,"77",2
"347",19,"55",3
"348",19,"3",4
"349",19,"26",5
"350",19,"18",6
"351",19,"10",7
"352",19,"31",8
"353",19,"4",9
"354",19,"23",10
"355",19,"11",11
"356",19,"5",12
"357",19,"6",13
"358",19,"99",14
"359",19,"20",15
"360",19,"89",16
"361",19,"7",17
"362",19,"51",18
"363",20,"63",1
"364",20,"77",2
"365",20,"55",3
"366",20,"3",4
"367",20,"26",5
"368",20,"18",6
"369",20,"10",7
"370",20,"31",8
"371",20,"23",9
"372",20,"11",10
"373",20,"4",11
"374",20,"5",12
"375",20,"6",13
"376",20,"99",14
"377",20,"20",15
"378",20,"89",16
"379",20,"7",17
"380",20,"51",18
"381",21,"63",1
"382",21,"77",2
"383",21,"55",3
"384",21,"3",4
"385",21,"26",5
"386",21,"18",6
"387",21,"10",7
"388",21,"31",8
"389",21,"11",9
"390",21,"23",10
"391",21,"5",11
"392",21,"6",12
"393",21,"99",13
"394",21,"20",14
"395",21,"89",15
"396",21,"7",16
"397",21,"51",17
"398",21,"4",18
"399",22,"63",1
"400",22,"77",2
"401",22,"55",3
"402",22,"3",4
"403",22,"26",5
"404",22,"18",6
"405",22,"10",7
"406",22,"31",8
"407",22,"11",9
"408",22,"23",10
"409",22,"5",11
"410",22,"6",12
"411",22,"99",13
"412",22,"20",14
"413",22,"89",15
"414",22,"7",16
"415",22,"51",17
"416",22,"4",18
"417",23,"63",1
"418",23,"77",2
"419",23,"55",3
"420",23,"3",4
"421",23,"26",5
"422",23,"18",6
"423",23,"10",7
"424",23,"31",8
"425",23,"11",9
"426",23,"23",10
"427",23,"5",11
"428",23,"6",12
"429",23,"99",13
"430",23,"20",14
"431",23,"89",15
"432",23,"51",16
"433",23,"7",17
"434",23,"4",18
"435",24,"63",1
"436",24,"77",2
"437",24,"55",3
"438",24,"3",4
"439",24,"26",5
"440",24,"18",6
"441",24,"10",7
"442",24,"31",8
"443",24,"11",9
"444",24,"23",10
"445",24,"5",11
"446",24,"6",12
"447",24,"99",13
"448",24,"20",14
"449",24,"89",15
"450",24,"51",16
"451",24,"4",17
"452",24,"7",18
"453",25,"63",1
"454",25,"77",2
"455",25,"55",3
"456",25,"3",4
"457",25,"26",5
"458",25,"18",6
"459",25,"10",7
"460",25,"31",8
"461",25,"11",9
"462",25,"23",10
"463",25,"5",11
"464",25,"6",12
"465",25,"99",13
"466",25,"20",14
"467",25,"89",15
"468",25,"4",16
"469",25,"51",17
"470",25,"7",18
"471",26,"63",1
"472",26,"77",2
"473",26,"55",3
"474",26,"3",4
"475",26,"26",5
"476",26,"18",6
"477",26,"10",7
"478",26,"31",8
"479",26,"11",9
"480",26,"23",10
"481",26,"5",11
"482",26,"6",12
"483",26,"99",13
"484",26,"89",14
"485",26,"20",15
"486",26,"4",16
"487",26,"51",17
"488",26,"7",18
"489",27,"63",1
"490",27,"77",2
"491",27,"55",3
